Brand,Processor,RAM (GB),Storage (GB),GPU,Screen Size (inches),Battery Life (hours),Price (INR)
Dell,Ryzen 3,8,2048,Integrated,16.0,10,81000
Acer,Intel i7,16,2048,GTX 1650,16.0,4,142000
Apple,Ryzen 7,8,1024,RTX 4060,14.0,4,146000
HP,Ryzen 3,16,256,RTX 4060,14.0,9,87000
Asus,Ryzen 9,32,256,RTX 4080,16.0,4,179000
Asus,Intel i9,16,512,RTX 4070,14.0,7,147000
Lenovo,Intel i7,32,1024,Integrated,15.6,4,139000
MSI,Ryzen 3,8,512,RTX 3050,15.6,9,71000
Asus,Intel i7,4,2048,RTX 3050,17.0,5,123000
Asus,Ryzen 9,16,2048,RTX 4080,17.0,11,182000
Apple,Intel i9,32,2048,Integrated,13.0,11,209000
Asus,Intel i5,32,2048,GTX 1650,15.6,9,159000
Acer,Intel i3,4,256,Integrated,13.0,12,38000
MSI,Intel i9,4,256,RTX 4060,16.0,7,113000
Asus,Intel i9,8,512,RTX 4090,17.0,4,141000
Asus,Intel i5,32,1024,GTX 1650,14.0,12,139000
Lenovo,Intel i7,32,256,RTX 4080,16.0,5,159000
MSI,Intel i5,8,256,RTX 4080,13.0,4,96000
Acer,Intel i7,4,2048,GTX 1650,17.0,7,118000
Dell,Intel i7,32,256,RTX 4060,15.6,4,149000
Dell,Ryzen 7,16,2048,GTX 1650,15.6,10,142000
Apple,Intel i7,16,2048,RTX 3050,17.0,12,177000
Asus,Intel i5,8,2048,RTX 4070,15.6,5,126000
Acer,Intel i3,32,1024,RTX 4090,14.0,4,149000
MSI,Intel i7,8,1024,GTX 1650,15.6,8,106000
Acer,Intel i9,16,512,RTX 4070,13.0,7,147000
Lenovo,Intel i9,16,2048,GTX 1650,15.6,9,162000
Dell,Intel i9,4,2048,RTX 4090,14.0,8,163000
Apple,Intel i5,4,1024,RTX 4090,16.0,12,138000
Acer,Ryzen 9,8,512,GTX 1650,15.6,6,116000
Acer,Intel i5,4,2048,RTX 4060,17.0,5,113000
HP,Intel i7,8,512,RTX 4060,17.0,4,106000
MSI,Ryzen 5,4,512,RTX 4080,17.0,9,93000
Acer,Intel i3,8,1024,RTX 4070,13.0,5,91000
Asus,Ryzen 7,4,2048,RTX 4070,15.6,12,133000
HP,Intel i5,4,2048,Integrated,15.6,6,88000
Dell,Intel i3,16,1024,RTX 4060,17.0,9,102000
Dell,Ryzen 5,16,512,GTX 1650,16.0,6,97000
Acer,Intel i9,32,512,RTX 4090,13.0,8,189000
Asus,Ryzen 5,32,256,GTX 1650,15.6,8,124000
Asus,Intel i5,8,512,GTX 1650,14.0,7,81000
Acer,Ryzen 9,8,256,RTX 3050,13.0,8,116000
Acer,Intel i3,8,256,RTX 4080,15.6,4,81000
Asus,Ryzen 7,32,512,RTX 4060,14.0,9,154000
HP,Ryzen 3,8,1024,Integrated,15.6,6,61000
HP,Ryzen 9,32,256,RTX 4080,13.0,6,179000
Asus,Intel i3,8,256,GTX 1650,15.6,12,61000
MSI,Intel i5,4,2048,RTX 4060,13.0,9,113000
MSI,Intel i7,4,1024,Integrated,14.0,9,83000
Asus,Ryzen 5,8,512,Integrated,17.0,4,66000
Dell,Ryzen 5,8,256,RTX 4060,17.0,4,86000
Dell,Ryzen 7,8,256,RTX 3050,15.6,12,96000
Dell,Ryzen 9,32,1024,GTX 1650,14.0,10,174000
Apple,Ryzen 9,32,512,Integrated,16.0,5,179000
MSI,Intel i9,32,512,Integrated,16.0,9,149000
MSI,Intel i7,4,2048,RTX 3050,15.6,6,123000
Asus,Intel i3,32,1024,Integrated,17.0,10,109000
HP,Intel i7,8,256,Integrated,15.6,6,76000
HP,Intel i5,16,512,RTX 4080,17.0,6,117000
Dell,Intel i7,16,1024,RTX 3050,14.0,6,127000
Acer,Intel i9,32,256,RTX 4090,17.0,8,184000
MSI,Intel i3,16,512,RTX 3050,14.0,10,87000
Apple,Ryzen 5,16,1024,Integrated,14.0,6,122000
Dell,Ryzen 9,4,512,RTX 4060,16.0,7,118000
Asus,Intel i5,32,1024,GTX 1650,14.0,11,139000
Apple,Intel i7,4,512,RTX 4080,17.0,5,138000
Apple,Ryzen 3,32,512,RTX 4090,17.0,9,169000
Dell,Intel i5,32,2048,RTX 4090,14.0,8,184000
Acer,Intel i3,8,1024,RTX 4080,16.0,7,96000
Lenovo,Intel i3,8,256,RTX 3050,13.0,5,66000
Lenovo,Intel i3,4,1024,RTX 4080,15.6,4,88000
Apple,Ryzen 9,8,2048,RTX 4080,13.0,10,196000
Acer,Ryzen 5,4,512,Integrated,14.0,7,58000
Apple,Intel i9,4,2048,GTX 1650,14.0,9,168000
Asus,Intel i9,8,1024,GTX 1650,17.0,7,126000
MSI,Ryzen 3,4,256,Integrated,13.0,11,38000
Apple,Intel i9,4,256,RTX 4070,13.0,4,148000
Asus,Intel i3,16,512,RTX 4070,13.0,11,97000
HP,Ryzen 7,8,1024,RTX 4090,17.0,10,131000
Acer,Ryzen 9,8,1024,Integrated,13.0,8,111000
Apple,Ryzen 7,4,1024,RTX 3050,17.0,9,133000
Asus,Intel i7,32,1024,RTX 4070,14.0,7,169000
HP,Intel i7,32,512,RTX 4080,14.0,4,164000
Apple,Ryzen 5,32,2048,RTX 4070,14.0,8,204000
Apple,Ryzen 7,8,512,RTX 3050,16.0,6,131000
Asus,Ryzen 5,4,2048,GTX 1650,17.0,10,103000
HP,Ryzen 7,8,1024,RTX 4090,13.0,12,131000
MSI,Intel i7,8,1024,Integrated,13.0,5,91000
MSI,Intel i9,32,2048,RTX 4070,16.0,8,209000
HP,Intel i5,8,256,RTX 3050,15.6,8,81000
Acer,Ryzen 9,16,2048,RTX 4090,13.0,11,187000
HP,Ryzen 3,16,2048,RTX 4090,13.0,4,137000
Dell,Ryzen 5,32,2048,RTX 4070,15.6,12,174000
Dell,Ryzen 7,16,256,Integrated,15.6,10,92000
HP,Intel i7,16,1024,RTX 4090,16.0,7,147000
HP,Intel i5,32,512,Integrated,13.0,6,114000
Asus,Ryzen 3,16,2048,Integrated,13.0,4,97000
Asus,Ryzen 5,16,512,RTX 3050,13.0,10,102000
Apple,Intel i5,32,1024,Integrated,17.0,7,154000
Asus,Ryzen 3,16,1024,GTX 1650,15.6,9,92000
Dell,Ryzen 9,8,256,RTX 4080,13.0,10,131000
Acer,Intel i3,4,256,RTX 3050,17.0,10,58000
Asus,Ryzen 3,16,2048,RTX 4090,13.0,11,137000
Asus,Intel i9,8,512,GTX 1650,15.6,7,116000
Dell,Intel i9,4,512,RTX 4090,15.6,4,133000
Acer,Intel i5,8,512,RTX 4070,13.0,9,96000
Apple,Intel i3,8,256,RTX 4070,14.0,6,106000
Dell,Ryzen 5,32,2048,RTX 4060,17.0,8,169000
Dell,Ryzen 3,8,1024,RTX 4070,14.0,10,91000
Dell,Intel i7,8,256,RTX 3050,13.0,7,96000
Lenovo,Intel i3,32,512,RTX 4080,13.0,7,134000
Apple,Ryzen 3,32,256,GTX 1650,14.0,5,139000
Apple,Intel i3,16,2048,RTX 3050,17.0,12,147000
MSI,Intel i7,16,1024,Integrated,13.0,8,107000
Dell,Intel i5,4,1024,RTX 4080,17.0,9,103000
Lenovo,Ryzen 5,16,1024,RTX 4080,15.6,6,127000
Dell,Intel i7,4,2048,RTX 4090,16.0,8,143000
Acer,Ryzen 7,16,256,Integrated,16.0,9,92000
MSI,Intel i3,16,2048,Integrated,15.6,6,97000
Lenovo,Ryzen 9,16,512,RTX 4060,14.0,11,142000
Acer,Ryzen 7,32,2048,Integrated,17.0,6,159000
HP,Intel i9,16,256,RTX 4060,17.0,6,137000
Lenovo,Ryzen 7,4,2048,Integrated,17.0,9,103000
Dell,Ryzen 3,8,512,RTX 4070,14.0,9,81000
Acer,Ryzen 3,32,512,Integrated,16.0,5,99000
Apple,Ryzen 7,4,2048,RTX 3050,14.0,4,153000
Asus,Intel i9,8,1024,RTX 4060,14.0,8,136000
Apple,Intel i3,4,256,RTX 4060,17.0,6,93000
HP,Intel i7,32,256,RTX 4070,14.0,4,154000
HP,Intel i7,32,256,RTX 4060,17.0,6,149000
HP,Ryzen 9,4,256,RTX 4080,17.0,7,123000
Acer,Intel i5,8,512,RTX 4080,14.0,6,101000
MSI,Ryzen 7,16,2048,Integrated,13.0,11,127000
HP,Ryzen 9,16,1024,RTX 4080,17.0,4,162000
Apple,Intel i3,16,512,RTX 4080,16.0,10,132000
HP,Ryzen 3,32,2048,GTX 1650,16.0,4,144000
MSI,Intel i9,4,256,RTX 4090,15.6,5,128000
MSI,Intel i5,8,256,RTX 4080,17.0,9,96000
Lenovo,Intel i7,8,1024,RTX 4070,17.0,9,121000
Dell,Intel i5,4,1024,RTX 4090,15.6,7,108000
MSI,Ryzen 7,4,512,RTX 3050,17.0,12,93000
Lenovo,Ryzen 7,32,512,RTX 4070,13.0,4,159000
Dell,Intel i9,16,2048,RTX 4080,13.0,8,182000
MSI,Ryzen 7,16,256,RTX 4070,17.0,8,122000
Dell,Ryzen 5,32,1024,GTX 1650,17.0,4,139000
MSI,Ryzen 5,16,512,RTX 4060,15.6,12,107000
Asus,Intel i7,16,256,RTX 4090,15.6,10,132000
Dell,Ryzen 7,4,2048,Integrated,13.0,9,103000
MSI,Ryzen 9,32,2048,Integrated,15.6,5,179000
MSI,Intel i5,16,2048,RTX 4080,15.6,10,147000
Asus,Ryzen 7,4,2048,RTX 3050,13.0,5,123000
Dell,Ryzen 3,32,256,RTX 4090,17.0,10,134000
Dell,Intel i7,16,256,RTX 4080,14.0,10,127000
Asus,Ryzen 3,4,1024,Integrated,14.0,9,53000
Dell,Ryzen 3,16,512,GTX 1650,14.0,5,82000
Acer,Intel i3,16,1024,GTX 1650,16.0,7,92000
Lenovo,Intel i7,8,1024,RTX 3050,17.0,9,111000
Dell,Ryzen 7,32,1024,Integrated,15.6,12,139000
Asus,Intel i9,32,256,GTX 1650,13.0,11,159000
Dell,Ryzen 7,16,256,RTX 4070,17.0,8,122000
Lenovo,Intel i9,32,1024,RTX 3050,16.0,9,179000
Acer,Ryzen 3,4,256,RTX 3050,13.0,8,58000
Acer,Ryzen 5,4,512,RTX 4080,17.0,6,93000
Lenovo,Intel i7,16,512,GTX 1650,16.0,5,112000
MSI,Ryzen 9,32,2048,RTX 4080,14.0,6,214000
Apple,Intel i5,32,2048,RTX 4070,14.0,8,204000
Apple,Intel i3,4,256,Integrated,16.0,8,68000
MSI,Ryzen 5,32,1024,GTX 1650,17.0,7,139000
HP,Intel i7,4,2048,Integrated,14.0,12,103000
Asus,Ryzen 5,32,512,RTX 4060,13.0,6,139000
Acer,Intel i7,8,2048,RTX 4090,13.0,6,151000
Asus,Intel i5,8,512,RTX 4060,15.6,9,91000
Lenovo,Ryzen 5,8,256,RTX 4070,14.0,8,91000
Asus,Ryzen 3,16,256,RTX 4090,15.6,8,102000
Asus,Intel i9,8,1024,RTX 4090,14.0,9,151000
Dell,Intel i5,16,1024,RTX 4060,17.0,7,117000
Acer,Intel i7,32,512,RTX 4080,13.0,9,164000
HP,Ryzen 9,8,512,RTX 4080,16.0,8,136000
Dell,Intel i3,32,256,RTX 4060,13.0,10,119000
MSI,Intel i5,16,1024,Integrated,14.0,9,92000
HP,Intel i9,8,2048,RTX 4080,15.6,8,166000
Dell,Intel i9,4,512,RTX 4060,13.0,5,118000
Dell,Ryzen 3,32,256,RTX 4070,13.0,7,124000
HP,Intel i3,8,1024,RTX 4070,16.0,9,91000
Lenovo,Ryzen 9,4,2048,RTX 4080,15.6,6,158000
Asus,Ryzen 3,4,2048,RTX 3050,17.0,9,93000
Lenovo,Intel i3,16,256,RTX 4060,17.0,11,87000
HP,Intel i7,4,1024,RTX 4080,14.0,4,118000
Apple,Intel i9,16,2048,RTX 4070,17.0,12,207000
Dell,Intel i3,16,256,Integrated,16.0,10,62000
MSI,Ryzen 3,8,256,RTX 4060,17.0,4,71000
HP,Ryzen 3,32,2048,GTX 1650,14.0,5,144000
Lenovo,Ryzen 3,4,256,RTX 4070,14.0,5,68000
HP,Ryzen 5,4,256,Integrated,16.0,7,53000
Apple,Ryzen 5,32,256,RTX 3050,14.0,9,159000
Dell,Ryzen 5,16,2048,RTX 4090,14.0,5,152000
MSI,Ryzen 3,16,512,Integrated,15.6,7,67000
Dell,Intel i5,4,2048,RTX 3050,14.0,12,108000
Apple,Ryzen 7,16,512,GTX 1650,16.0,7,142000
Asus,Ryzen 9,8,256,RTX 4080,17.0,4,131000
Dell,Ryzen 3,32,256,RTX 4060,16.0,4,119000
MSI,Intel i7,4,512,RTX 3050,13.0,8,93000
Apple,Intel i7,4,2048,RTX 4060,16.0,11,158000
Acer,Intel i9,16,512,RTX 4060,14.0,12,142000
Acer,Ryzen 3,4,1024,RTX 4060,13.0,10,78000
Acer,Ryzen 7,16,1024,RTX 4060,17.0,7,132000
Acer,Intel i3,4,512,RTX 4090,15.6,8,83000
Asus,Ryzen 7,4,512,RTX 3050,13.0,7,93000
MSI,Ryzen 7,16,256,RTX 4090,17.0,6,132000
MSI,Ryzen 3,32,512,RTX 3050,13.0,12,119000
Acer,Intel i3,4,256,RTX 4060,17.0,4,63000
HP,Ryzen 7,8,2048,RTX 4060,15.6,4,136000
Dell,Intel i3,8,512,Integrated,16.0,5,51000
Acer,Ryzen 7,4,256,RTX 4080,16.0,8,103000
Acer,Intel i7,32,2048,RTX 4070,16.0,11,189000
MSI,Intel i9,16,512,RTX 4060,14.0,5,142000
Asus,Intel i7,8,1024,RTX 3050,15.6,6,111000
Dell,Intel i9,4,1024,RTX 4070,15.6,12,133000
HP,Ryzen 7,16,256,RTX 3050,17.0,11,112000
Acer,Ryzen 5,16,2048,RTX 4070,15.6,7,142000
Apple,Intel i3,4,256,RTX 3050,13.0,7,88000
Acer,Intel i3,32,256,RTX 4090,14.0,6,134000
Apple,Ryzen 7,8,2048,GTX 1650,15.6,10,156000
Asus,Ryzen 3,4,512,RTX 4060,15.6,5,68000
Apple,Intel i7,8,512,RTX 4060,15.6,7,136000
Asus,Intel i3,8,2048,RTX 3050,15.6,8,101000
HP,Ryzen 3,4,1024,RTX 4090,16.0,10,93000
Lenovo,Intel i7,8,1024,Integrated,13.0,11,91000
Lenovo,Ryzen 9,16,256,RTX 4070,16.0,8,142000
Lenovo,Intel i3,4,512,RTX 4090,16.0,6,83000
Dell,Intel i3,8,2048,RTX 4060,14.0,6,106000
Acer,Ryzen 3,32,256,RTX 4090,15.6,12,134000
Acer,Ryzen 9,4,2048,RTX 4060,15.6,9,148000
Acer,Intel i3,8,2048,RTX 4060,14.0,5,106000
Apple,Ryzen 7,8,512,RTX 4070,17.0,5,141000
Asus,Ryzen 5,8,1024,RTX 4070,13.0,8,106000
MSI,Ryzen 5,8,1024,RTX 4070,13.0,5,106000
Asus,Ryzen 9,4,1024,RTX 3050,17.0,7,123000
MSI,Ryzen 9,8,2048,RTX 3050,17.0,10,151000
HP,Ryzen 3,8,512,RTX 4090,17.0,6,91000
Acer,Intel i3,16,512,RTX 4070,16.0,6,97000
Lenovo,Ryzen 5,16,256,RTX 4090,17.0,10,117000
Lenovo,Intel i9,16,512,RTX 3050,14.0,10,137000
MSI,Intel i3,32,2048,Integrated,15.6,10,129000
HP,Intel i3,16,1024,RTX 3050,13.0,9,97000
Lenovo,Intel i5,4,256,RTX 4060,17.0,9,78000
MSI,Intel i3,4,2048,Integrated,17.0,12,73000
Lenovo,Ryzen 9,32,512,RTX 4090,13.0,12,189000
Asus,Ryzen 3,32,2048,RTX 4090,14.0,11,169000
Dell,Ryzen 5,4,512,GTX 1650,14.0,6,73000
MSI,Ryzen 5,8,512,RTX 3050,16.0,12,86000
Lenovo,Ryzen 3,4,1024,GTX 1650,15.6,9,68000
HP,Ryzen 5,16,1024,Integrated,14.0,4,92000
Apple,Ryzen 5,16,512,RTX 4070,17.0,7,142000
Acer,Intel i5,32,256,Integrated,16.0,9,109000
Acer,Ryzen 5,16,256,GTX 1650,16.0,6,92000
Lenovo,Intel i5,32,2048,RTX 4080,14.0,4,179000
Dell,Ryzen 5,8,256,RTX 3050,14.0,4,81000
MSI,Intel i7,16,1024,RTX 4060,16.0,7,132000
Asus,Intel i7,32,512,RTX 4060,14.0,5,154000
Asus,Intel i9,8,2048,RTX 4080,15.6,8,166000
Apple,Ryzen 7,4,256,RTX 4060,15.6,7,123000
Lenovo,Intel i9,32,1024,RTX 4070,16.0,9,189000
Lenovo,Ryzen 9,4,1024,Integrated,13.0,4,103000
Apple,Ryzen 5,4,1024,RTX 4080,15.6,9,133000
Acer,Intel i7,4,1024,RTX 3050,16.0,5,103000
Lenovo,Intel i5,4,512,RTX 4070,14.0,9,88000
HP,Ryzen 7,8,2048,RTX 4070,15.6,4,141000
Acer,Ryzen 5,8,512,RTX 4070,15.6,4,96000
Dell,Intel i5,16,1024,RTX 4080,17.0,4,127000
Asus,Ryzen 3,32,512,RTX 4070,17.0,12,129000
MSI,Intel i7,8,256,RTX 4070,13.0,9,106000
Dell,Intel i9,16,2048,GTX 1650,17.0,8,162000
Dell,Ryzen 9,32,256,RTX 4060,15.6,10,169000
Dell,Intel i7,16,512,RTX 4070,15.6,7,127000
Acer,Intel i9,8,1024,RTX 4060,15.6,11,136000
MSI,Intel i3,4,512,Integrated,14.0,9,43000
Apple,Intel i7,16,256,RTX 3050,17.0,11,142000
Apple,Ryzen 5,8,1024,Integrated,15.6,5,106000
Apple,Ryzen 5,8,1024,RTX 4060,16.0,11,131000
HP,Intel i5,8,1024,Integrated,17.0,8,76000
Asus,Ryzen 5,8,2048,GTX 1650,15.6,11,111000
Dell,Intel i3,16,256,RTX 3050,16.0,4,82000
Apple,Ryzen 3,16,1024,Integrated,17.0,11,107000
Apple,Intel i3,4,2048,GTX 1650,14.0,9,118000
Apple,Ryzen 9,16,512,GTX 1650,17.0,9,162000
MSI,Ryzen 3,4,512,RTX 4080,13.0,10,78000
Dell,Intel i5,32,512,RTX 4090,14.0,7,154000
Dell,Intel i9,4,1024,RTX 4090,17.0,4,143000
Apple,Intel i3,32,256,GTX 1650,17.0,5,139000
MSI,Ryzen 9,4,512,GTX 1650,13.0,7,108000
Dell,Ryzen 5,8,2048,RTX 4070,17.0,8,126000
HP,Intel i9,4,512,RTX 4080,14.0,6,128000
Dell,Ryzen 5,4,1024,RTX 4070,17.0,9,98000
Dell,Intel i3,8,256,RTX 3050,17.0,12,66000
Asus,Intel i3,16,1024,Integrated,15.6,7,77000
Asus,Ryzen 7,8,1024,RTX 4070,15.6,7,121000
MSI,Intel i7,16,1024,GTX 1650,16.0,5,122000
HP,Ryzen 5,8,256,Integrated,14.0,4,61000
Asus,Intel i7,8,512,RTX 4080,16.0,5,116000
MSI,Ryzen 3,32,2048,RTX 4060,13.0,12,154000
Lenovo,Intel i9,16,512,RTX 4070,13.0,10,147000
Apple,Ryzen 3,16,256,Integrated,17.0,6,92000
Dell,Intel i3,16,256,RTX 4070,15.6,6,92000
HP,Ryzen 5,32,2048,RTX 4070,13.0,12,174000
Dell,Ryzen 9,8,512,RTX 4090,14.0,12,141000
Acer,Intel i3,32,256,RTX 4060,16.0,6,119000
Lenovo,Ryzen 3,16,1024,GTX 1650,16.0,5,92000
Acer,Ryzen 5,8,1024,RTX 4090,13.0,7,116000
HP,Ryzen 9,8,512,RTX 4070,16.0,12,131000
Apple,Ryzen 9,8,1024,GTX 1650,17.0,8,156000
HP,Intel i9,16,2048,Integrated,16.0,6,147000
Acer,Intel i3,4,512,RTX 3050,14.0,6,63000
Apple,Intel i3,16,2048,GTX 1650,13.0,4,142000
HP,Intel i3,4,2048,RTX 4090,17.0,12,113000
Acer,Intel i3,16,256,RTX 4070,15.6,8,92000
MSI,Intel i7,8,512,RTX 4060,15.6,9,106000
Acer,Ryzen 9,8,256,RTX 3050,15.6,5,116000
Dell,Intel i3,8,1024,RTX 4060,15.6,10,86000
Lenovo,Ryzen 5,32,512,GTX 1650,14.0,6,129000
MSI,Ryzen 7,4,512,RTX 4090,15.6,12,113000
Acer,Intel i5,8,2048,RTX 4070,15.6,8,126000
Dell,Intel i3,8,2048,RTX 4060,17.0,9,106000
Dell,Ryzen 3,8,2048,RTX 4060,14.0,8,106000
Lenovo,Intel i9,16,1024,RTX 4060,13.0,6,152000
Asus,Ryzen 9,8,2048,RTX 4090,17.0,5,171000
Dell,Ryzen 3,32,1024,RTX 4070,16.0,8,139000
Dell,Ryzen 9,8,512,RTX 4070,16.0,10,131000
Dell,Intel i5,16,512,RTX 3050,17.0,11,102000
Acer,Ryzen 5,16,2048,RTX 4080,17.0,10,147000
Asus,Intel i7,32,1024,RTX 4080,15.6,7,174000
Asus,Ryzen 9,8,2048,RTX 4080,13.0,4,166000
HP,Ryzen 3,32,512,Integrated,17.0,10,99000
MSI,Intel i9,8,512,RTX 4060,16.0,5,126000
Dell,Intel i3,4,2048,Integrated,13.0,5,73000
MSI,Ryzen 3,16,2048,RTX 4080,15.6,5,132000
Acer,Intel i9,32,512,Integrated,16.0,6,149000
Acer,Ryzen 3,32,1024,RTX 4060,16.0,12,134000
Acer,Ryzen 9,8,256,Integrated,13.0,10,96000
Apple,Intel i5,16,2048,GTX 1650,14.0,8,157000
MSI,Ryzen 5,32,2048,RTX 4070,14.0,9,174000
Asus,Intel i7,16,2048,RTX 4070,16.0,7,157000
Asus,Intel i3,32,512,GTX 1650,17.0,9,114000
MSI,Ryzen 3,8,512,Integrated,13.0,9,51000
Apple,Ryzen 5,32,512,RTX 4070,16.0,9,174000
Lenovo,Ryzen 5,16,512,RTX 4080,16.0,10,117000
HP,Intel i9,4,512,RTX 4070,17.0,8,123000
Acer,Intel i9,8,2048,RTX 4060,14.0,12,156000
HP,Intel i7,32,1024,GTX 1650,17.0,4,154000
Acer,Ryzen 5,16,1024,RTX 4090,15.6,9,132000
Apple,Ryzen 7,32,1024,RTX 4080,17.0,4,204000
Acer,Ryzen 9,4,2048,RTX 4070,13.0,8,153000
Dell,Intel i7,16,1024,Integrated,17.0,10,107000
MSI,Intel i5,16,512,Integrated,15.6,12,82000
Acer,Intel i9,16,1024,RTX 3050,17.0,6,147000
Acer,Intel i3,16,512,RTX 4090,17.0,9,107000
Lenovo,Ryzen 3,32,512,GTX 1650,16.0,9,114000
Dell,Ryzen 3,32,1024,RTX 4060,14.0,5,134000
Dell,Ryzen 5,32,1024,RTX 4070,16.0,10,154000
Apple,Intel i9,8,512,RTX 4090,17.0,8,171000
MSI,Intel i9,8,512,RTX 4080,17.0,12,136000
HP,Ryzen 9,8,512,Integrated,17.0,4,101000
Asus,Ryzen 9,32,256,RTX 4090,15.6,8,184000
HP,Intel i3,32,2048,RTX 4070,16.0,6,159000
MSI,Ryzen 3,16,512,RTX 4060,17.0,7,92000
HP,Intel i9,16,512,RTX 4090,13.0,10,157000
HP,Intel i3,4,512,GTX 1650,17.0,6,58000
MSI,Intel i9,4,2048,RTX 3050,17.0,10,143000
Dell,Ryzen 5,4,1024,RTX 4060,16.0,8,93000
Asus,Ryzen 3,8,256,RTX 3050,16.0,6,66000
Apple,Intel i7,4,512,RTX 4090,17.0,10,143000
MSI,Ryzen 5,4,256,RTX 3050,16.0,9,73000
Apple,Intel i5,4,512,RTX 4070,16.0,10,118000
Dell,Ryzen 9,8,1024,RTX 4080,17.0,7,146000
Asus,Intel i5,8,256,RTX 3050,14.0,4,81000
Lenovo,Ryzen 7,16,256,Integrated,14.0,6,92000
Acer,Intel i9,4,256,GTX 1650,17.0,9,103000
Asus,Intel i7,32,1024,RTX 4080,13.0,5,174000
Asus,Ryzen 3,32,2048,RTX 4060,15.6,7,154000
Dell,Ryzen 9,8,512,RTX 4080,13.0,11,136000
Lenovo,Ryzen 7,32,512,RTX 4070,13.0,4,159000
MSI,Ryzen 9,4,256,RTX 4080,16.0,6,123000
HP,Ryzen 5,8,2048,RTX 4090,15.6,9,136000
MSI,Ryzen 5,16,2048,GTX 1650,17.0,8,127000
Acer,Intel i7,8,1024,GTX 1650,16.0,10,106000
HP,Ryzen 9,4,256,Integrated,17.0,4,88000
Asus,Ryzen 9,16,256,RTX 3050,17.0,8,132000
Lenovo,Intel i9,16,256,RTX 4070,17.0,7,142000
MSI,Ryzen 5,16,512,RTX 4090,17.0,11,122000
Acer,Ryzen 9,4,2048,RTX 4080,16.0,10,158000
Apple,Intel i3,32,256,RTX 4080,16.0,12,159000
Acer,Intel i5,32,2048,Integrated,13.0,11,144000
Apple,Ryzen 9,32,256,RTX 4080,13.0,4,209000
Acer,Ryzen 5,8,1024,RTX 4080,17.0,11,111000
Lenovo,Intel i7,8,256,RTX 4070,15.6,4,106000
HP,Intel i3,16,2048,RTX 4070,14.0,5,127000
MSI,Ryzen 7,32,1024,RTX 3050,13.0,7,159000
Lenovo,Intel i3,8,512,Integrated,13.0,6,51000
Acer,Intel i9,16,1024,GTX 1650,14.0,8,142000
Acer,Intel i3,16,1024,Integrated,15.6,10,77000
MSI,Intel i3,4,1024,RTX 4070,14.0,6,83000
Acer,Ryzen 7,32,1024,RTX 4090,17.0,10,179000
HP,Intel i9,4,1024,Integrated,15.6,9,103000
Lenovo,Intel i3,4,256,GTX 1650,17.0,6,53000
Lenovo,Intel i3,4,2048,RTX 4090,13.0,9,113000
HP,Intel i7,16,256,RTX 4060,14.0,10,117000
Acer,Ryzen 3,8,256,RTX 4060,16.0,4,71000
Acer,Intel i3,16,512,RTX 4090,13.0,6,107000
Apple,Ryzen 3,8,1024,RTX 4060,17.0,7,116000
Acer,Ryzen 5,32,256,Integrated,16.0,12,109000
Dell,Intel i7,32,2048,RTX 4080,13.0,6,194000
MSI,Intel i5,8,512,RTX 3050,13.0,6,86000
Apple,Ryzen 3,32,2048,RTX 4070,13.0,8,189000
Asus,Intel i9,16,1024,RTX 4080,13.0,10,162000
Apple,Intel i5,16,512,RTX 4080,13.0,4,147000
Apple,Ryzen 7,16,256,RTX 4070,15.6,5,152000
Asus,Ryzen 9,8,256,RTX 4080,13.0,12,131000
Lenovo,Ryzen 7,16,256,Integrated,15.6,11,92000
Apple,Ryzen 9,32,256,RTX 4090,16.0,10,214000
HP,Ryzen 7,8,512,RTX 4070,15.6,10,111000
Asus,Intel i3,16,512,RTX 4080,13.0,4,102000
Dell,Ryzen 9,4,512,Integrated,13.0,5,93000
HP,Ryzen 3,16,256,RTX 4080,16.0,10,97000
Lenovo,Ryzen 3,4,1024,Integrated,14.0,5,53000
Apple,Intel i7,32,2048,RTX 4060,17.0,10,214000
HP,Intel i7,32,512,RTX 4060,14.0,11,154000
Lenovo,Intel i7,16,512,RTX 4090,16.0,12,137000
Acer,Intel i5,4,2048,GTX 1650,15.6,9,103000
Asus,Ryzen 9,16,1024,RTX 4090,14.0,10,167000
Apple,Ryzen 3,32,256,RTX 4090,13.0,11,164000
Acer,Intel i7,32,256,Integrated,16.0,6,124000
Asus,Intel i7,4,1024,RTX 3050,14.0,11,103000
HP,Ryzen 5,16,256,RTX 4080,17.0,11,112000
HP,Ryzen 9,8,1024,GTX 1650,17.0,9,126000
HP,Intel i5,8,512,RTX 4090,14.0,4,106000
MSI,Ryzen 5,32,2048,Integrated,17.0,12,144000
Dell,Intel i7,16,512,RTX 3050,16.0,5,117000
Lenovo,Ryzen 5,16,2048,RTX 4080,13.0,5,147000
Lenovo,Ryzen 5,16,512,RTX 4090,14.0,5,122000
Asus,Ryzen 5,4,256,Integrated,17.0,8,53000
Dell,Intel i7,16,1024,RTX 4090,15.6,10,147000
Acer,Ryzen 9,32,512,RTX 4060,14.0,4,174000
Dell,Intel i7,4,512,RTX 4060,17.0,12,98000
Asus,Ryzen 9,32,512,RTX 4060,13.0,11,174000
Apple,Intel i9,8,2048,GTX 1650,16.0,12,176000
Apple,Ryzen 3,4,256,Integrated,14.0,8,68000
HP,Intel i3,16,2048,GTX 1650,13.0,4,112000
